Serial_No,Report_Name,Reporting_Data_attribute,Data_Attributes_contributing_to_reporting_attributes,Row_Code,Column_Code,Measure,Source,Tab,Sub_part,Mart,Mart_Logic,SQL_Query,Frequency
105,Schedule V,Loan Sanctions,"(b) Out of the 1.1(i) above, loans granted for Plot + Construction",R1273,C204,No. of accounts,Mart,part-1,Part-1A,Sanction_period_mart_V1,"populate count(Loan_no_new) where,
1- Customer_type = 'INDIVIDUAL'
2- system_product = 'Purchase and Construction'","SELECT COUNT(Loan_number_new) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
WHERE Customer_type = 'INDIVIDUAL'
AND PRODUCT_NHB IN ('Purchase', 'Construction')
AND Report_Date IN ({{report_dates}})",monthly
106,Schedule V,Loan Sanctions,(ii) for purchasing old units (Resale),R1274,C204,No. of accounts,Mart,part-1,Part-1A,Sanction_period_mart_V1,"populate count(Loan_no_new) where,
1- Customer_type = 'INDIVIDUAL'
2- Product_NHB = 'Resale Property Purchase'","SELECT COUNT(Loan_number_new) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
WHERE Customer_type = 'INDIVIDUAL'
AND PRODUCT_NHB= 'Resale Property Purchase'
AND Report_Date IN ({{report_dates}})",monthly
107,Schedule V,Loan Sanctions,(iii) for repair & renovation of existing units,R1275,C204,No. of accounts,Mart,part-1,Part-1A,Sanction_period_mart_V1,"populate count(Loan_no_new) where,
1- Customer_type = 'INDIVIDUAL'
2- Product_NHB = 'Repair and Renovation Loan'","SELECT COUNT(Loan_number_new) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
WHERE Customer_type = 'INDIVIDUAL'
AND PRODUCT_NHB= 'Repair and Renovation Loan'
AND Report_Date IN ({{report_dates}})",monthly
108,Schedule V,Loan Sanctions,1.2-Builders and Corporates,R1276,C204,No. of accounts,derived ,part-1,Part-1A,,,,monthly
109,Schedule V,Loan Sanctions,(i) Residential Projects,R1277,C204,No. of accounts,Mart,part-1,Part-1A,Sanction_period_mart_V1,"populate count(Loan_no_new) where,
1- Product_NHB <> 'Other Loan'
2- CRE_RH_Tagging is not NULL","SELECT COUNT(Loan_number_new) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
WHERE  Product_NHB <> 'OTHER LOAN'
AND CRE_RH_Tagging is not NULL
AND Report_Date IN ({{report_dates}})",monthly
110,Schedule V,Loan Sanctions,"(a) Out of the 1.2(i) above, Loans for Slum Rehabilitation Authority (SRA)",R1278,C204,No. of accounts,NA,part-1,Part-1A,,,,monthly
112,Schedule V,Loan Sanctions,2-Non-Housing Loans,R1280,C204,No. of accounts,derived ,part-1,Part-1A,,,,monthly
113,Schedule V,Loan Sanctions,2.1-Individuals,R1281,C204,No. of accounts,derived ,part-1,Part-1A,,,,monthly
114,Schedule V,Loan Sanctions,(i) for mortgage/property/home equity loans/LAP,R1282,C204,No. of accounts,NA,part-1,Part-1A,,,,monthly
115,Schedule V,Loan Sanctions,(ii) Lease Rental Discounting,R1283,C204,No. of accounts,NA,part-1,Part-1A,,,,monthly
116,Schedule V,Loan Sanctions,(iii) Others,R1284,C204,No. of accounts,NA,part-1,Part-1A,,,,monthly
117,Schedule V,Loan Sanctions,(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1285,C204,No. of accounts,NA,part-1,Part-1A,,,,monthly
118,Schedule V,Loan Sanctions,(b) Of (iii) above loans against security of gold jewellery,R1286,C204,No. of accounts,NA,part-1,Part-1A,,,,monthly
119,Schedule V,Loan Sanctions,2.2-Builders and Corporates,R1287,C204,No. of accounts,derived ,part-1,Part-1A,,,,monthly
120,Schedule V,Loan Sanctions,(i) Non-residential projects,R1288,C204,No. of accounts,NA,part-1,Part-1A,,,,monthly
121,Schedule V,Loan Sanctions,(ii) Lease Rental Discounting,R1289,C204,No. of accounts,NA,part-1,Part-1A,,,,monthly
122,Schedule V,Loan Sanctions,(iii) Others,R1290,C204,No. of accounts,Mart,part-1,Part-1A,Sanction_period_mart_V1,"populate count(Loan_no_new) where,
1- Product_NHB = 'Other Loan'
2- Customer_type = 'CORPORATE'","SELECT COUNT(Loan_number_new) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
WHERE  Product_NHB = 'OTHER LOAN'
AND Customer_type = 'CORPORATE'
AND Report_Date IN ({{report_dates}})",monthly
123,Schedule V,Loan Sanctions,(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1291,C204,No. of accounts,NA,part-1,Part-1A,,,,monthly
125,Schedule V,Loan Sanctions,3-Total,R1293,C204,No. of accounts,derived ,part-1,Part-1A,,,,monthly
126,Schedule V,Loan Sanctions,1- Housing Loans,R1269,C205,Gross carrying amount (Note-2),derived ,part-1,Part-1A,,,,monthly
127,Schedule V,Loan Sanctions,1.1-Individuals,R1270,C205,Gross carrying amount (Note-2),derived ,part-1,Part-1A,,,,monthly
128,Schedule V,Loan Sanctions,(i) for construction/purchase of new units,R1271,C205,Gross carrying amount (Note-2),Mart,part-1,Part-1A,Sanction_period_mart_V1,"populate sum(HL_bifur_of_Sanction_amt) where,
1- Customer_type = 'INDIVIDUAL'
2- CRE_RH_Tagging is null
3- Product_NHB = ('Purchase', 'Construction')","SELECT sum(HL_bifur_of_Sanction_amt) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
WHERE Customer_type = 'INDIVIDUAL'
AND CRE_RH_Tagging is null
AND Product_NHB IN ('Purchase', 'Construction')
AND Report_Date IN ({{report_dates}})",monthly
129,Schedule V,Loan Sanctions,"(a) Out of the 1.1(i) above, loans granted for purchase of dwelling units from builders (under construction + completed)",R1272,C205,Gross carrying amount (Note-2),Mart,part-1,Part-1A,Sanction_period_mart_V1,"populate sum(HL_Bifur_sanction_amt) where,
Transaction_structure = ('Builder Purchase', 'General APF')","SELECT sum(HL_bifur_of_Sanction_amt) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
WHERE Transaction_structure IN ('BUILDER_PURCHASE', 'GENERAL_APF')
AND Report_Date IN ({{report_dates}})",monthly
130,Schedule V,Loan Sanctions,"(b) Out of the 1.1(i) above, loans granted for Plot + Construction",R1273,C205,Gross carrying amount (Note-2),Mart,part-1,Part-1A,Sanction_period_mart_V1,"populate sum(HL_Bifur_of_Sanction_amt) where,
1- Customer_type = 'INDIVIDUAL'
2- system_product = 'Purchase and Construction'","SELECT sum(HL_bifur_of_Sanction_amt) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
WHERE Customer_type = 'INDIVIDUAL'
AND system_product = 'Purchase and Construction'
AND Report_Date IN ({{report_dates}})",monthly
131,Schedule V,Loan Sanctions,(ii) for purchasing old units (Resale),R1274,C205,Gross carrying amount (Note-2),Mart,part-1,Part-1A,Sanction_period_mart_V1,"populate sum(HL_bifur_of_Sanction_amt)  where,
1- Customer_type = 'INDIVIDUAL'
2- Product_NHB = 'Resale Property Purchase'","SELECT sum(HL_bifur_of_Sanction_amt) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
WHERE Customer_type = 'INDIVIDUAL'
AND Product_NHB = 'Resale Property Purchase'
AND Report_Date IN ({{report_dates}})",monthly
132,Schedule V,Loan Sanctions,(iii) for repair & renovation of existing units,R1275,C205,Gross carrying amount (Note-2),Mart,part-1,Part-1A,Sanction_period_mart_V1,"populate sum(HL_bifur_of_Sanction_amt)  where,
1- Customer_type = 'INDIVIDUAL'
2- Product_NHB = 'Repair and Renovation Loan'","SELECT sum(HL_bifur_of_Sanction_amt) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
WHERE Customer_type = 'INDIVIDUAL'
AND Product_NHB = 'Repair and Renovation Loan'
AND Report_Date IN ({{report_dates}})",monthly
133,Schedule V,Loan Sanctions,1.2-Builders and Corporates,R1276,C205,Gross carrying amount (Note-2),derived ,part-1,Part-1A,,,,monthly
134,Schedule V,Loan Sanctions,(i) Residential Projects,R1277,C205,Gross carrying amount (Note-2),Mart,part-1,Part-1A,Sanction_period_mart_V1,"populate sum(HL_bifur_of_Sanction_amt) where,
1- Product_NHB <> 'Other Loan'
2- CRE_RH_Tagging is null","SELECT sum(HL_bifur_of_Sanction_amt) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
WHERE Product_NHB <> 'OTHER LOAN'
AND CRE_RH_Tagging is null
AND Report_Date IN ({{report_dates}})",monthly
135,Schedule V,Loan Sanctions,"(a) Out of the 1.2(i) above, Loans for Slum Rehabilitation Authority (SRA)",R1278,C205,Gross carrying amount (Note-2),NA,part-1,Part-1A,,,,monthly
137,Schedule V,Loan Sanctions,2-Non-Housing Loans,R1280,C205,Gross carrying amount (Note-2),derived ,part-1,Part-1A,,,,monthly
138,Schedule V,Loan Sanctions,2.1-Individuals,R1281,C205,Gross carrying amount (Note-2),derived ,part-1,Part-1A,,,,monthly
139,Schedule V,Loan Sanctions,(i) for mortgage/property/home equity loans/LAP,R1282,C205,Gross carrying amount (Note-2),NA,part-1,Part-1A,,,,monthly
140,Schedule V,Loan Sanctions,(ii) Lease Rental Discounting,R1283,C205,Gross carrying amount (Note-2),NA,part-1,Part-1A,,,,monthly
141,Schedule V,Loan Sanctions,(iii) Others,R1284,C205,Gross carrying amount (Note-2),NA,part-1,Part-1A,,,,monthly
142,Schedule V,Loan Sanctions,(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1285,C205,Gross carrying amount (Note-2),NA,part-1,Part-1A,,,,monthly
143,Schedule V,Loan Sanctions,(b) Of (iii) above loans against security of gold jewellery,R1286,C205,Gross carrying amount (Note-2),NA,part-1,Part-1A,,,,monthly
144,Schedule V,Loan Sanctions,2.2-Builders and Corporates,R1287,C205,Gross carrying amount (Note-2),derived ,part-1,Part-1A,,,,monthly
145,Schedule V,Loan Sanctions,(i) Non-residential projects,R1288,C205,Gross carrying amount (Note-2),NA,part-1,Part-1A,,,,monthly
146,Schedule V,Loan Sanctions,(ii) Lease Rental Discounting,R1289,C205,Gross carrying amount (Note-2),NA,part-1,Part-1A,,,,monthly
147,Schedule V,Loan Sanctions,(iii) Others,R1290,C205,Gross carrying amount (Note-2),Mart,part-1,Part-1A,Sanction_period_mart_V1,"populate sum(NHL_bifur_of_Sanction_amt)  where,
1- Product_NHB = 'Other Loan'
2- Customer_type = 'CORPORATE'","SELECT sum(NHL_bifur_of_Sanction_amt) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
WHERE Product_NHB = 'OTHER LOAN'
AND Customer_type = 'CORPORATE'
AND Report_Date IN ({{report_dates}})",monthly
148,Schedule V,Loan Sanctions,(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1291,C205,Gross carrying amount (Note-2),NA,part-1,Part-1A,,,,monthly
151,Schedule V,Loan Disbursements,1- Housing Loans,R1294,C206,No. of accounts,derived ,part-1,Part-1B,,,,monthly
152,Schedule V,Loan Disbursements,1.1-Individuals,R1295,C206,No. of accounts,derived ,part-1,Part-1B,,,,monthly
153,Schedule V,Loan Disbursements,(i) for construction/purchase of new units,R1296,C206,No. of accounts,Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"populate count of distinct(Loan_no_new) where,
1- Customer_type = 'INDIVIDUAL'
2- CRE_RH_Tagging is null
3- Product_NHB = ('Purchase', 'Construction')","SELECT COUNT(DISTINCT(Loan_number_new))
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Customer_type = 'INDIVIDUAL'
AND CRE_RH_Tagging is null
AND PRODUCT_NHB IN ('Purchase', 'Construction')
AND Report_Date IN ({{report_dates}})",monthly
154,Schedule V,Loan Disbursements,"(a) Out of the 1.1(i) above, loans granted for purchase of dwelling units from builders (under construction + completed)",R1297,C206,No. of accounts,Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"populate count of distinct(Loan_no_new) where,
Transaction_structure = ('Builder Purchase', 'General APF')","SELECT COUNT(DISTINCT(Loan_number_new))
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Transaction_structure IN ('BUILDER_PURCHASE', 'GENERAL_APF')
AND Report_Date IN ({{report_dates}})",monthly
155,Schedule V,Loan Disbursements,"(b) Out of the 1.1(i) above, loans granted for Plot + Construction",R1298,C206,No. of accounts,Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"populate count of distinct(Loan_no_new) where,
1- Customer_type = 'INDIVIDUAL'
2- system_product = 'Purchase and Construction'","SELECT COUNT(DISTINCT(Loan_number_new))
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Customer_type = 'INDIVIDUAL'
AND PRODUCT = 'Purchase and Construction'
AND Report_Date IN ({{report_dates}})",monthly
156,Schedule V,Loan Disbursements,(ii) for purchasing old units (Resale),R1299,C206,No. of accounts,Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"populate count of distinct(Loan_no_new) where,
1- Customer_type = 'INDIVIDUAL'
2- Product_NHB = 'Resale Property Purchase'","SELECT COUNT(DISTINCT(Loan_number_new))
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Customer_type = 'INDIVIDUAL'
AND PRODUCT = 'Resale Property Purchase'
AND Report_Date IN ({{report_dates}})",monthly
157,Schedule V,Loan Disbursements,(iii) for repair & renovation of existing units,R1300,C206,No. of accounts,Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"populate count of distinct(Loan_no_new) where,
1- Customer_type = 'INDIVIDUAL'
2- Product_NHB = 'Repair and Renovation Loan'","SELECT COUNT(DISTINCT(Loan_number_new))
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Customer_type = 'INDIVIDUAL'
AND PRODUCT = 'Repair and Renovation Loan'
AND Report_Date IN ({{report_dates}})",monthly
158,Schedule V,Loan Disbursements,1.2-Builders and Corporates,R1301,C206,No. of accounts,derived ,part-1,Part-1B,,,,monthly
159,Schedule V,Loan Disbursements,(i) Residential Projects,R1302,C206,No. of accounts,Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"populate count of distinct(Loan_no_new) where,
1- Product_NHB <> 'Other Loan'
2- CRE_RH_Tagging is not null","SELECT COUNT(DISTINCT(Loan_number_new))
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Product_NHB <> 'OTHER LOAN'
AND CRE_RH_Tagging is not null
AND Report_Date IN ({{report_dates}})",monthly
160,Schedule V,Loan Disbursements,"(a) Out of the 1.2(i) above, Loans for Slum Rehabilitation Authority (SRA)",R1303,C206,No. of accounts,NA,part-1,Part-1B,,,,monthly
162,Schedule V,Loan Disbursements,2-Non-Housing Loans,R1305,C206,No. of accounts,derived ,part-1,Part-1B,,,,monthly
163,Schedule V,Loan Disbursements,2.1-Individuals,R1306,C206,No. of accounts,derived ,part-1,Part-1B,,,,monthly
164,Schedule V,Loan Disbursements,(i) for mortgage/property/home equity loans/LAP,R1307,C206,No. of accounts,NA,part-1,Part-1B,,,,monthly
165,Schedule V,Loan Disbursements,(ii) Lease Rental Discounting,R1308,C206,No. of accounts,NA,part-1,Part-1B,,,,monthly
166,Schedule V,Loan Disbursements,(iii) Others,R1309,C206,No. of accounts,NA,part-1,Part-1B,,,,monthly
167,Schedule V,Loan Disbursements,(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1310,C206,No. of accounts,NA,part-1,Part-1B,,,,monthly
168,Schedule V,Loan Disbursements,(b) Of (iii) above loans against security of gold jewellery,R1311,C206,No. of accounts,NA,part-1,Part-1B,,,,monthly
169,Schedule V,Loan Disbursements,2.2-Builders and Corporates,R1312,C206,No. of accounts,derived ,part-1,Part-1B,,,,monthly
170,Schedule V,Loan Disbursements,(i) Non-residential projects,R1313,C206,No. of accounts,NA,part-1,Part-1B,,,,monthly
171,Schedule V,Loan Disbursements,(ii) Lease Rental Discounting,R1314,C206,No. of accounts,NA,part-1,Part-1B,,,,monthly
172,Schedule V,Loan Disbursements,(iii) Others,R1315,C206,No. of accounts,Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"populate count of distinct(Loan_no_new) where,
1- Product_NHB = 'Other Loan'
2- Customer_type = 'CORPORATE'","SELECT COUNT(DISTINCT(Loan_number_new))
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Product_NHB = 'OTHER LOAN'
AND Customer_type = 'CORPORATE'
AND Report_Date IN ({{report_dates}})",monthly
173,Schedule V,Loan Disbursements,(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1316,C206,No. of accounts,NA,part-1,Part-1B,,,,monthly
175,Schedule V,Loan Disbursements,3-Total,R1318,C206,No. of accounts,derived ,part-1,Part-1B,,,,monthly
176,Schedule V,Loan Disbursements,1- Housing Loans,R1294,C207,Gross carrying amount (Note-2),derived ,part-1,Part-1B,,,,monthly
177,Schedule V,Loan Disbursements,1.1-Individuals,R1295,C207,Gross carrying amount (Note-2),derived ,part-1,Part-1B,,,,monthly
178,Schedule V,Loan Disbursements,(i) for construction/purchase of new units,R1296,C207,Gross carrying amount (Note-2),Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"populate sum(HL_bifur_of_disb_amt) where,
1- Customer_type = 'INDIVIDUAL'
2- CRE_RH_Tagging is null
3- Product_NHB = ('Purchase', 'Construction')","SELECT sum(HL_bifur_of_disb_amt) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE  Customer_type = 'INDIVIDUAL'
AND CRE_RH_Tagging is null
AND Product_NHB IN ('Purchase', 'Construction')
AND Report_Date IN ({{report_dates}})",monthly
179,Schedule V,Loan Disbursements,"(a) Out of the 1.1(i) above, loans granted for purchase of dwelling units from builders (under construction + completed)",R1297,C207,Gross carrying amount (Note-2),Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"populate sum(HL_Bifur_of_disb_amt) where,
Transaction_structure = ('Builder Purchase', 'General APF')","SELECT sum(HL_bifur_of_disb_amt) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Transaction_structure IN ('BUILDER_PURCHASE', 'GENERAL_APF')
AND Report_Date IN ({{report_dates}})",monthly
180,Schedule V,Loan Disbursements,"(b) Out of the 1.1(i) above, loans granted for Plot + Construction",R1298,C207,Gross carrying amount (Note-2),Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"populate sum(HL_Bifur_of_Disb_amt) where,
1- Customer_type = 'INDIVIDUAL'
2- system_product = 'Purchase and Construction'","SELECT sum(HL_bifur_of_disb_amt) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Customer_type = 'INDIVIDUAL'
AND product = 'Purchase and Construction'
AND Report_Date IN ({{report_dates}})",monthly
181,Schedule V,Loan Disbursements,(ii) for purchasing old units (Resale),R1299,C207,Gross carrying amount (Note-2),Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"populate sum(HL_bifur_of_disb_amt)  where,
1- Customer_type = 'INDIVIDUAL'
2- Product_NHB = 'Resale Property Purchase'","SELECT sum(HL_bifur_of_disb_amt) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Customer_type = 'INDIVIDUAL'
AND product = 'Resale Property Purchase'
AND Report_Date IN ({{report_dates}})",monthly
182,Schedule V,Loan Disbursements,(iii) for repair & renovation of existing units,R1300,C207,Gross carrying amount (Note-2),Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"populate sum(HL_bifur_of_disb_amt)  where,
1- Customer_type = 'INDIVIDUAL'
2- Product_NHB = 'Repair and Renovation Loan'","SELECT sum(HL_bifur_of_disb_amt) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Customer_type = 'INDIVIDUAL'
AND product = 'Repair and Renovation Loan'
AND Report_Date IN ({{report_dates}})",monthly
183,Schedule V,Loan Disbursements,1.2-Builders and Corporates,R1301,C207,Gross carrying amount (Note-2),derived ,part-1,Part-1B,,,,monthly
184,Schedule V,Loan Disbursements,(i) Residential Projects,R1302,C207,Gross carrying amount (Note-2),Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"populate sum(HL_bifur_of_disb_amt) where,
1- Product_NHB <> 'Other Loan'
2- CRE_RH_Tagging is not null","SELECT sum(HL_bifur_of_disb_amt) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Product_NHB <> 'OTHER LOAN'
AND CRE_RH_Tagging is not null
AND Report_Date IN ({{report_dates}})",monthly
185,Schedule V,Loan Disbursements,"(a) Out of the 1.2(i) above, Loans for Slum Rehabilitation Authority (SRA)",R1303,C207,Gross carrying amount (Note-2),NA,part-1,Part-1B,,,,monthly
187,Schedule V,Loan Disbursements,2-Non-Housing Loans,R1305,C207,Gross carrying amount (Note-2),derived ,part-1,Part-1B,,,,monthly
188,Schedule V,Loan Disbursements,2.1-Individuals,R1306,C207,Gross carrying amount (Note-2),derived ,part-1,Part-1B,,,,monthly
189,Schedule V,Loan Disbursements,(i) for mortgage/property/home equity loans/LAP,R1307,C207,Gross carrying amount (Note-2),NA,part-1,Part-1B,,,,monthly
190,Schedule V,Loan Disbursements,(ii) Lease Rental Discounting,R1308,C207,Gross carrying amount (Note-2),NA,part-1,Part-1B,,,,monthly
191,Schedule V,Loan Disbursements,(iii) Others,R1309,C207,Gross carrying amount (Note-2),NA,part-1,Part-1B,,,,monthly
192,Schedule V,Loan Disbursements,(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1310,C207,Gross carrying amount (Note-2),NA,part-1,Part-1B,,,,monthly
193,Schedule V,Loan Disbursements,(b) Of (iii) above loans against security of gold jewellery,R1311,C207,Gross carrying amount (Note-2),NA,part-1,Part-1B,,,,monthly
194,Schedule V,Loan Disbursements,2.2-Builders and Corporates,R1312,C207,Gross carrying amount (Note-2),derived ,part-1,Part-1B,,,,monthly
195,Schedule V,Loan Disbursements,(i) Non-residential projects,R1313,C207,Gross carrying amount (Note-2),NA,part-1,Part-1B,,,,monthly
196,Schedule V,Loan Disbursements,(ii) Lease Rental Discounting,R1314,C207,Gross carrying amount (Note-2),NA,part-1,Part-1B,,,,monthly
197,Schedule V,Loan Disbursements,(iii) Others,R1315,C207,Gross carrying amount (Note-2),Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"populate sum(NHL_bifur_of_disb_amt)  where,
1- Product_NHB = 'Other Loan'
2- Customer_type = 'CORPORATE'","SELECT sum(NHL_BIFUR_OF_DISB_AMT) 
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Product_NHB = 'OTHER LOAN'
AND Customer_type = 'CORPORATE'
AND Report_Date IN ({{report_dates}})",monthly
198,Schedule V,Loan Disbursements,(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1316,C207,Gross carrying amount (Note-2),NA,part-1,Part-1B,,,,monthly
201,Schedule V,Loan Disbursements,1- Housing Loans,R1294,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
202,Schedule V,Loan Disbursements,1.1-Individuals,R1295,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
203,Schedule V,Loan Disbursements,(i) for construction/purchase of new units,R1296,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
204,Schedule V,Loan Disbursements,"(a) Out of the 1.1(i) above, loans granted for purchase of dwelling units from builders (under construction + completed)",R1297,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
205,Schedule V,Loan Disbursements,"(b) Out of the 1.1(i) above, loans granted for Plot + Construction",R1298,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
206,Schedule V,Loan Disbursements,(ii) for purchasing old units (Resale),R1299,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
207,Schedule V,Loan Disbursements,(iii) for repair & renovation of existing units,R1300,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
208,Schedule V,Loan Disbursements,1.2-Builders and Corporates,R1301,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
209,Schedule V,Loan Disbursements,(i) Residential Projects,R1302,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
210,Schedule V,Loan Disbursements,"(a) Out of the 1.2(i) above, Loans for Slum Rehabilitation Authority (SRA)",R1303,C208,No. of accounts,NA,part-1,Part-1B,,,,monthly
211,Schedule V,Loan Disbursements,1.3-Housing Loans to others (excluding 1.1 and 1.2 above),R1304,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
212,Schedule V,Loan Disbursements,2-Non-Housing Loans,R1305,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
213,Schedule V,Loan Disbursements,2.1-Individuals,R1306,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
214,Schedule V,Loan Disbursements,(i) for mortgage/property/home equity loans/LAP,R1307,C208,No. of accounts,NA,part-1,Part-1B,,,,monthly
215,Schedule V,Loan Disbursements,(ii) Lease Rental Discounting,R1308,C208,No. of accounts,NA,part-1,Part-1B,,,,monthly
216,Schedule V,Loan Disbursements,(iii) Others,R1309,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
217,Schedule V,Loan Disbursements,(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1310,C208,No. of accounts,NA,part-1,Part-1B,,,,monthly
218,Schedule V,Loan Disbursements,(b) Of (iii) above loans against security of gold jewellery,R1311,C208,No. of accounts,NA,part-1,Part-1B,,,,monthly
219,Schedule V,Loan Disbursements,2.2-Builders and Corporates,R1312,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
220,Schedule V,Loan Disbursements,(i) Non-residential projects,R1313,C208,No. of accounts,NA,part-1,Part-1B,,,,monthly
221,Schedule V,Loan Disbursements,(ii) Lease Rental Discounting,R1314,C208,No. of accounts,NA,part-1,Part-1B,,,,monthly
222,Schedule V,Loan Disbursements,(iii) Others,R1315,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
223,Schedule V,Loan Disbursements,(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1316,C208,No. of accounts,NA,part-1,Part-1B,,,,monthly
224,Schedule V,Loan Disbursements,2.3-Non-housing Loans to others (excluding 2.1 and 2.2 above),R1317,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
225,Schedule V,Loan Disbursements,3-Total,R1318,C208,No. of accounts,derived ,part-1,Part-1B,,,,monthly
226,Schedule V,Loan Disbursements,1- Housing Loans,R1294,C209,Gross carrying amount (Note-2),derived ,part-1,Part-1B,,,,monthly
227,Schedule V,Loan Disbursements,1.1-Individuals,R1295,C209,Gross carrying amount (Note-2),derived ,part-1,Part-1B,,,,monthly
228,Schedule V,Loan Disbursements,(i) for construction/purchase of new units,R1296,C209,Gross carrying amount (Note-2),derived ,part-1,Part-1B,,,,monthly
229,Schedule V,Loan Disbursements,"(a) Out of the 1.1(i) above, loans granted for purchase of dwelling units from builders (under construction + completed)",R1297,C209,Gross carrying amount (Note-2),derived ,part-1,Part-1B,,,,monthly
230,Schedule V,Loan Disbursements,"(b) Out of the 1.1(i) above, loans granted for Plot + Construction",R1298,C209,Gross carrying amount (Note-2),derived ,part-1,Part-1B,,,,monthly
